"Order";"Level";"Sorting code";"Parent";"Code";"Description";"Remark"
"1644572";"1";"2800";;"RO501M";"Constanta";
"1644573";"1";"2810";;"RO502M";"Iasi";
"1644574";"1";"2820";;"RO503M";"Galati";
"1644575";"1";"2830";;"RO504M";"Brasov";
"1644576";"1";"2840";;"RO505M";"Ploiesti";
"1644577";"1";"2850";;"RO_NM";"Non-metropolitan regions in Romania";
"1644578";"1";"2860";;"SI001MC";"Ljubljana";
"1644579";"1";"2870";;"SI001MC_10";"Ljubljana (NUTS 2010)";
"1644580";"1";"2880";;"SI002M";"Maribor";
"1644581";"1";"2890";;"SI_NM";"Non-metropolitan regions in Slovenia";
"1644582";"1";"2900";;"SK001MC";"Bratislava";
"1644583";"1";"2910";;"SK002M";"Kosice";
"1644584";"1";"2920";;"SK_NM";"Non-metropolitan regions in Slovakia";
"1644585";"1";"2930";;"FI001MC";"Helsinki";
"1644586";"1";"2940";;"FI002M";"Tampere";
"1644587";"1";"2950";;"FI002M_10";"Tampere (NUTS 2010)";
"1644588";"1";"2960";;"FI003M";"Turku";
"1644589";"1";"2970";;"FI_NM";"Non-metropolitan regions in Finland";
"1644590";"1";"2980";;"SE001MC";"Stockholm";
"1644591";"1";"2990";;"SE002M";"Göteborg";
"1644592";"1";"3000";;"SE003M";"Malmö";
"1644593";"1";"3010";;"SE006M";"Uppsala";
"1644594";"1";"3020";;"SE_NM";"Non-metropolitan regions in Sweden";
"1644595";"1";"3030";;"UK001MC";"London";
"1644596";"1";"3040";;"UK001MC_10";"London (NUTS 2010)";
"1644597";"1";"3050";;"UK002M";"West Midlands urban area";
"1644598";"1";"3060";;"UK003M";"Leeds";
"1644599";"1";"3070";;"UK004M";"Glasgow";
"1644600";"1";"3080";;"UK005M";"Bradford";
"1644601";"1";"3090";;"UK006M";"Liverpool";
"1644602";"1";"3100";;"UK007M";"Edinburgh";
"1644603";"1";"3110";;"UK008M";"Manchester";
"1644604";"1";"3120";;"UK008M_10";"Manchester (NUTS 2010)";
"1644605";"1";"3130";;"UK009M";"Cardiff";
"1644606";"1";"3140";;"UK010M";"Sheffield";
"1644607";"1";"3150";;"UK011M";"Bristol";
"1644608";"1";"3160";;"UK012M";"Belfast";
"1644609";"1";"3170";;"UK013M";"Newcastle upon Tyne";
"1644610";"1";"3180";;"UK014M";"Leicester";
"1644611";"1";"3190";;"UK016M";"Aberdeen";
"1644612";"1";"3200";;"UK017M";"Cambridge";
"1644613";"1";"3210";;"UK018M";"Exeter";
"1644614";"1";"3220";;"UK022M";"Wrexham";
"1644615";"1";"3230";;"UK023M";"Portsmouth";
"1644616";"1";"3240";;"UK023M_10";"Portsmouth (NUTS 2010)";
"1644617";"1";"3250";;"UK024M";"Worcester";
"1644618";"1";"3260";;"UK025M";"Coventry";
"1644619";"1";"3270";;"UK026M";"Kingston upon Hull";
